nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_001701	NA	turquoise
Tsubulata_001725	NA	turquoise
Tsubulata_001727	NA	turquoise
Tsubulata_001732	NA	magenta
Tsubulata_001742	NA	turquoise
Tsubulata_001746	NA	turquoise
Tsubulata_001755	NA	turquoise
Tsubulata_001759	NA	turquoise
Tsubulata_001760	NA	turquoise
Tsubulata_001771	NA	turquoise
Tsubulata_001773	NA	turquoise
Tsubulata_001780	NA	turquoise
Tsubulata_001785	NA	turquoise
Tsubulata_001787	NA	magenta
Tsubulata_001823	NA	magenta
Tsubulata_001824	NA	turquoise
Tsubulata_001828	NA	turquoise
Tsubulata_001835	NA	turquoise
Tsubulata_001838	NA	turquoise
Tsubulata_001841	NA	turquoise
Tsubulata_001843	NA	turquoise
Tsubulata_001859	NA	turquoise
Tsubulata_001862	NA	turquoise
Tsubulata_001870	NA	magenta
Tsubulata_001914	NA	turquoise
Tsubulata_001918	NA	turquoise
Tsubulata_001925	NA	turquoise
Tsubulata_001939	NA	turquoise
Tsubulata_001947	NA	turquoise
Tsubulata_001965	NA	turquoise
Tsubulata_001973	NA	turquoise
Tsubulata_001980	NA	turquoise
Tsubulata_001999	NA	turquoise
Tsubulata_002022	NA	magenta
Tsubulata_002056	NA	turquoise
Tsubulata_002062	NA	turquoise
Tsubulata_002093	NA	turquoise
Tsubulata_002108	NA	turquoise
Tsubulata_002109	NA	turquoise
Tsubulata_002110	NA	turquoise
Tsubulata_002132	NA	turquoise
Tsubulata_002162	NA	turquoise
Tsubulata_002223	NA	magenta
Tsubulata_002224	NA	turquoise
Tsubulata_002225	NA	turquoise
Tsubulata_002227	NA	turquoise
Tsubulata_002269	NA	turquoise
Tsubulata_002272	NA	turquoise
Tsubulata_002282	NA	turquoise
Tsubulata_002287	NA	turquoise
Tsubulata_002290	NA	turquoise
Tsubulata_002307	NA	turquoise
Tsubulata_002313	NA	turquoise
Tsubulata_002332	NA	turquoise
Tsubulata_002337	NA	turquoise
Tsubulata_002350	NA	turquoise
Tsubulata_002352	NA	turquoise
Tsubulata_002362	NA	turquoise
Tsubulata_002365	NA	turquoise
Tsubulata_002366	NA	turquoise
Tsubulata_002423	NA	magenta
Tsubulata_002427	NA	turquoise
Tsubulata_002458	NA	turquoise
Tsubulata_002502	NA	turquoise
Tsubulata_002521	NA	turquoise
Tsubulata_002539	NA	turquoise
Tsubulata_002541	NA	turquoise
Tsubulata_002546	NA	turquoise
Tsubulata_002548	NA	turquoise
Tsubulata_002554	NA	turquoise
Tsubulata_002556	NA	turquoise
Tsubulata_002565	NA	turquoise
Tsubulata_002572	NA	turquoise
Tsubulata_002574	NA	magenta
Tsubulata_002636	NA	turquoise
Tsubulata_002643	NA	turquoise
Tsubulata_002648	NA	turquoise
Tsubulata_002663	NA	magenta
Tsubulata_002680	NA	turquoise
Tsubulata_002688	NA	turquoise
Tsubulata_002690	NA	turquoise
Tsubulata_002697	NA	turquoise
Tsubulata_002698	NA	turquoise
Tsubulata_002713	NA	turquoise
Tsubulata_002743	NA	turquoise
Tsubulata_002747	NA	turquoise
Tsubulata_002750	NA	turquoise
Tsubulata_002757	NA	turquoise
Tsubulata_002759	NA	turquoise
Tsubulata_002764	NA	turquoise
Tsubulata_002774	NA	turquoise
Tsubulata_002785	NA	turquoise
Tsubulata_002818	NA	magenta
Tsubulata_002819	NA	turquoise
Tsubulata_002826	NA	turquoise
Tsubulata_002831	NA	turquoise
Tsubulata_002840	NA	turquoise
Tsubulata_002872	NA	magenta
Tsubulata_002881	NA	turquoise
Tsubulata_002897	NA	turquoise
Tsubulata_002907	NA	turquoise
Tsubulata_002909	NA	turquoise
Tsubulata_002911	NA	turquoise
Tsubulata_002920	NA	turquoise
Tsubulata_002922	NA	turquoise
Tsubulata_002927	NA	magenta
Tsubulata_002928	NA	turquoise
Tsubulata_002932	NA	turquoise
Tsubulata_002935	NA	turquoise
Tsubulata_002940	NA	turquoise
Tsubulata_002941	NA	turquoise
Tsubulata_002948	NA	turquoise
Tsubulata_002949	NA	turquoise
Tsubulata_002950	NA	turquoise
Tsubulata_002955	NA	turquoise
Tsubulata_002957	NA	turquoise
Tsubulata_002963	NA	turquoise
Tsubulata_002967	NA	turquoise
Tsubulata_002968	NA	turquoise
Tsubulata_002969	NA	magenta
Tsubulata_002970	NA	turquoise
Tsubulata_002979	NA	turquoise
Tsubulata_002984	NA	turquoise
Tsubulata_003009	NA	turquoise
Tsubulata_003024	NA	turquoise
Tsubulata_003028	NA	turquoise
Tsubulata_003029	NA	turquoise
Tsubulata_003049	NA	turquoise
