ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
Tsubulata_000177	2.656312333	1.474513	3.03724
Tsubulata_000179	0	0	0
Tsubulata_000180	561.8521527	705.639343	363.4717407
Tsubulata_000185	7.683445	16.018677	1.629297667
Tsubulata_000188	0	0	0
Tsubulata_000189	0	0	0
Tsubulata_000195	1.430117333	1.3524675	3.613907667
Tsubulata_000197	4.917679667	4.814714	3.822377333
Tsubulata_000201	2.960894333	1.8233695	2.304529333
Tsubulata_000206	0.494912333	0.2386955	0.99703
Tsubulata_000207	0	0	0
Tsubulata_000208	149.024485	123.0500105	174.2159017
Tsubulata_000209	73.01023867	75.5624505	43.180377
Tsubulata_000211	2.564771	1.397723	2.203065667
Tsubulata_000216	2.462744667	12.4680345	5.911690667
Tsubulata_000220	196.7948403	157.888855	284.8700867
Tsubulata_000221	12.36704167	21.4507025	10.29287533
Tsubulata_000222	0	0	0
Tsubulata_000224	706.8267413	577.254578	603.726766
Tsubulata_000225	150.6352337	155.338402	136.646805
Tsubulata_000226	0.197827	0	0
Tsubulata_000227	13.15040467	16.4041745	10.45317933
Tsubulata_000232	17.503423	38.871292	16.25546933
Tsubulata_000235	28.48769267	30.7566045	28.58311767
Tsubulata_000238	109.8316927	72.5627365	95.821541
Tsubulata_000239	18.53752433	26.246334	26.462918
Tsubulata_000241	0	0	0
Tsubulata_000243	0	0	0
Tsubulata_000248	0	0	0
Tsubulata_000250	0.023411667	0	0
Tsubulata_000252	2.919532	2.2333765	1.393418
Tsubulata_000254	219.4834747	183.517395	155.157135
Tsubulata_000257	222.3792827	189.8930585	282.902847
Tsubulata_000258	1.738912667	2.144474	1.590117333
Tsubulata_000259	22.87413833	26.474823	19.64113567
Tsubulata_000261	0.167333333	0.4441425	0.011625333
Tsubulata_000263	0	0	0
Tsubulata_000266	0	0	0
Tsubulata_000267	3.890114333	5.5162235	3.382552333
Tsubulata_000268	2.633493333	6.6806	3.74066
Tsubulata_000269	0	0	0
Tsubulata_000270	26.173002	27.951104	24.29625767
Tsubulata_000271	4.586316	6.6343915	3.373190667
Tsubulata_000273	0.760819333	0.8757365	1.625288333
Tsubulata_000278	1.262759	4.5713165	2.816140667
Tsubulata_000279	2.502583333	6.3552515	7.706187667
Tsubulata_000280	1.444067	1.386681	2.647519667
Tsubulata_000281	36.379845	24.7101735	46.68437833
Tsubulata_000283	0.001094333	0	0.000116
Tsubulata_000284	15.66054633	16.160139	15.95779667
Tsubulata_000285	35.58563733	23.2347765	28.363524
Tsubulata_000286	0	0	0
Tsubulata_000287	0	0	0
Tsubulata_000288	0	0	0
Tsubulata_000289	0	0.0487075	0
Tsubulata_000290	0.210519333	4.3704595	1.363205333
Tsubulata_000291	38.186455	43.179285	35.830702
Tsubulata_000292	0	0	0.028137667
Tsubulata_000293	310.7090353	219.2491535	279.342865
Tsubulata_000294	3.407779667	13.160351	2.569965333
Tsubulata_000296	0	0	0
Tsubulata_000297	0.495576333	0	0.071181333
Tsubulata_000298	5.571766	7.0239475	3.302396333
Tsubulata_000299	0	0	0
Tsubulata_000300	0	0	0.207823667
Tsubulata_000301	93.445943	102.6669695	153.0374857
Tsubulata_000302	2.233833667	2.7789595	2.292826667
Tsubulata_000303	11.645589	35.2180355	68.98426033
Tsubulata_000304	0.71316	1.3769025	0.834274667
Tsubulata_000305	8.052769	23.996495	14.90569367
Tsubulata_000306	0	0	0
Tsubulata_000307	0.349787333	0.604485	0.293875
Tsubulata_000308	4.254671	8.458168	1.187
Tsubulata_000310	1.964565667	2.0730935	0
Tsubulata_000314	0	0	0
Tsubulata_000316	8.592006667	10.6511885	5.683408667
Tsubulata_000317	9.032782333	14.2550735	4.304356
Tsubulata_000319	0	0	0
Tsubulata_000321	0	0	0
Tsubulata_000322	0	0	0
Tsubulata_000323	63.849252	78.393204	69.09396633
Tsubulata_000325	1.503943667	2.368951	4.952130333
Tsubulata_000328	0.859874	3.4262985	0.787684333
Tsubulata_000329	1.959297	6.975246	0.804025333
Tsubulata_000330	0	0	0
Tsubulata_000331	1.535234	0.8916615	0.637042333
Tsubulata_000332	3.111375667	6.1331245	2.649610333
Tsubulata_000333	527.1266583	430.315689	668.6644693
Tsubulata_000334	0	0	0
Tsubulata_000335	0	0	0
Tsubulata_000336	41.649433	46.8823205	39.469757
Tsubulata_000337	0	0	0.022084
Tsubulata_000339	39.52680467	17.56178	19.19989533
Tsubulata_000340	0.481765333	1.9863205	0.839973333
Tsubulata_000341	2.580515333	6.0896325	2.710122667
Tsubulata_000344	0	0.874337	0.490370667
Tsubulata_000346	0.097076333	0.1135035	0.108425
Tsubulata_000347	17.82021267	22.8352195	16.22886967
Tsubulata_000348	0.172397	0.487789	0.390346
Tsubulata_000349	3.483946333	4.8097745	2.568677667
Tsubulata_000350	0	0	0
Tsubulata_000351	24.985744	30.4186525	27.05796133
Tsubulata_000353	9.444058333	10.1978095	9.395535333
Tsubulata_000354	20.11801533	21.3923215	17.60740633
Tsubulata_000355	0.116016667	2.758694	0.449826333
Tsubulata_000356	0	0.268415	0.045735333
Tsubulata_000357	0	0	0
Tsubulata_000358	0	0.097866	0
Tsubulata_000359	71.424764	69.2129305	35.74115967
Tsubulata_000360	12.96998433	11.315031	7.152138667
Tsubulata_000361	0.453453	0.6469575	0.418433333
Tsubulata_000362	0.033590667	0.1714485	0.949297667
Tsubulata_000365	67.66776767	64.9747085	71.54454033
Tsubulata_000366	15.22224333	15.732128	14.38448367
Tsubulata_000367	16.37955967	23.657343	15.997204
Tsubulata_000369	1.77724	3.0304105	0.818496333
Tsubulata_000370	31.76391233	38.714552	23.20064733
Tsubulata_000371	81.66774233	225.880295	167.7401277
Tsubulata_000372	401.2607017	419.9391785	437.5312703
Tsubulata_000373	186.039439	144.691063	237.116043
Tsubulata_000374	3.444179	4.268976	1.655776
