number	feature	id	pval	ScvWtSmorphqval
11788	gene	Tsubulata_019997	NA	NA
11789	gene	Tsubulata_020000	0.944777159521572	0.964883665621204
11790	gene	Tsubulata_020002	0.0357394395330298	0.141668749804752
11791	gene	Tsubulata_020004	0.0863193465999046	0.223081570872302
11792	gene	Tsubulata_020005	0.223023433679736	0.388825087649099
11793	gene	Tsubulata_020006	0.166271619974825	0.322828666597418
11794	gene	Tsubulata_020007	0.0409417702769806	0.149461695845753
11795	gene	Tsubulata_020009	0.919578626366115	0.948668907619357
11796	gene	Tsubulata_020010	NA	NA
11797	gene	Tsubulata_020012	0.189972977368913	0.351034839835102
11798	gene	Tsubulata_020013	NA	NA
11799	gene	Tsubulata_020015	NA	NA
11800	gene	Tsubulata_020016	0.647614871044343	0.771625446384956
11801	gene	Tsubulata_020018	NA	NA
11802	gene	Tsubulata_020019	0.0016017335262507	0.0566387020437622
11803	gene	Tsubulata_020020	0.816239317976085	0.889351889929261
11804	gene	Tsubulata_020021	0.0136642879406065	0.100044152872408
11805	gene	Tsubulata_020022	0.265966944013464	0.436150844531034
11806	gene	Tsubulata_020024	0.224425075052635	0.39047207092422
11807	gene	Tsubulata_020025	0.0547286552931965	0.174143425317608
11808	gene	Tsubulata_020026	0.176008650106654	0.334062761050546
11809	gene	Tsubulata_020027	0.500967137280871	0.66077973219063
11810	gene	Tsubulata_020028	0.0489588276544773	0.164206279124558
11811	gene	Tsubulata_020029	NA	NA
11812	gene	Tsubulata_020031	0.0981155184455615	0.239987077188043
11813	gene	Tsubulata_020032	0.293786666879627	0.465162040722386
11814	gene	Tsubulata_020036	NA	NA
11815	gene	Tsubulata_020038	0.88750933791127	0.927356154408084
11816	gene	Tsubulata_020041	NA	NA
11817	gene	Tsubulata_020043	NA	NA
11818	gene	Tsubulata_020048	0.019878858532915	0.11524015214195
11819	gene	Tsubulata_020051	0.00637073178043279	0.0793824219393813
11820	gene	Tsubulata_020054	0.0496314642623599	0.165377748946039
11821	gene	Tsubulata_020059	0.366932414903665	0.539094487355639
11822	gene	Tsubulata_020060	NA	NA
11823	gene	Tsubulata_020061	0.474481156413927	0.63843656114243
11824	gene	Tsubulata_020065	NA	NA
11825	gene	Tsubulata_020066	NA	NA
11826	gene	Tsubulata_020069	NA	NA
11827	gene	Tsubulata_020074	NA	NA
11828	gene	Tsubulata_020083	NA	NA
11829	gene	Tsubulata_020084	0.0112476176303772	0.0933072847312074
11830	gene	Tsubulata_020086	0.676240622054538	0.792922154002612
11831	gene	Tsubulata_020089	0.441364598385188	0.610204672218567
11832	gene	Tsubulata_020090	NA	NA
11833	gene	Tsubulata_020091	0.692174491232214	0.804782087759119
11834	gene	Tsubulata_020093	NA	NA
11835	gene	Tsubulata_020094	0.38911840545113	0.561093649010091
11836	gene	Tsubulata_020095	NA	NA
11837	gene	Tsubulata_020098	NA	NA
11838	gene	Tsubulata_020099	NA	NA
11839	gene	Tsubulata_020101	NA	NA
11840	gene	Tsubulata_020105	NA	NA
11841	gene	Tsubulata_020106	NA	NA
11842	gene	Tsubulata_020108	NA	NA
11843	gene	Tsubulata_020111	NA	NA
11844	gene	Tsubulata_020112	NA	NA
11845	gene	Tsubulata_020118	NA	NA
11846	gene	Tsubulata_020121	NA	NA
11847	gene	Tsubulata_020124	0.262415198751942	0.432865347909808
11848	gene	Tsubulata_020126	0.725314931738815	0.830478845749283
11849	gene	Tsubulata_020127	0.0262548883528888	0.128660610860417
11850	gene	Tsubulata_020128	0.107624846668323	0.253798104145747
11851	gene	Tsubulata_020129	0.84551657760315	0.908746136123037
11852	gene	Tsubulata_020130	0.163088845271586	0.318848540910738
11853	gene	Tsubulata_020131	0.102840851916528	0.246996376189336
11854	gene	Tsubulata_020132	0.0875560213692534	0.22471997700023
11855	gene	Tsubulata_020134	0.862388594948775	0.920369831406802
11856	gene	Tsubulata_020135	0.0924626112074934	0.232197424480231
11857	gene	Tsubulata_020136	0.0806185601630132	0.214154526175295
11858	gene	Tsubulata_020137	NA	NA
11859	gene	Tsubulata_020138	0.176096216271086	0.334143644756057
11860	gene	Tsubulata_020139	NA	NA
11861	gene	Tsubulata_020140	0.151446343490469	0.30496626739934
11862	gene	Tsubulata_020143	NA	NA
11863	gene	Tsubulata_020145	0.00033034116344921	0.0437191334158681
11864	gene	Tsubulata_020146	0.259205408615186	0.429326873084664
11865	gene	Tsubulata_020147	0.334876072005013	0.506740549623797
11866	gene	Tsubulata_020148	0.162464864086879	0.318118006820223
11867	gene	Tsubulata_020149	0.174311574673029	0.332181494623455
11868	gene	Tsubulata_020150	0.0693243843017834	0.197965819749979
11869	gene	Tsubulata_020151	0.0257282875168536	0.127293952603605
11870	gene	Tsubulata_020152	0.0611009762395864	0.185041359151919
11871	gene	Tsubulata_020154	NA	NA
11872	gene	Tsubulata_020155	NA	NA
11873	gene	Tsubulata_020156	0.0298608837648549	0.136327644603797
11874	gene	Tsubulata_020157	0.205461616026368	0.368295830608387
11875	gene	Tsubulata_020158	0.513148808897787	0.671399489440611
11876	gene	Tsubulata_020159	0.653757596097754	0.775902367702841
11877	gene	Tsubulata_020160	0.526013325576682	0.683351305620312
11878	gene	Tsubulata_020162	0.680190260622002	0.79583247265834
11879	gene	Tsubulata_020163	NA	NA
11880	gene	Tsubulata_020165	0.332300501417951	0.504351408834604
11881	gene	Tsubulata_020166	0.713438280979558	0.821486316723978
11882	gene	Tsubulata_020167	0.0338320538010328	0.141668749804752
11883	gene	Tsubulata_020168	0.439100746284714	0.608197605445813
11884	gene	Tsubulata_020169	0.00273347858856576	0.0642581978964523
11885	gene	Tsubulata_020172	NA	NA
11886	gene	Tsubulata_020174	NA	NA
11887	gene	Tsubulata_020175	NA	NA
11888	gene	Tsubulata_020176	NA	NA
11889	gene	Tsubulata_020178	NA	NA
11890	gene	Tsubulata_020179	0.0301422495135446	0.136778366165228
11891	gene	Tsubulata_020181	NA	NA
11892	gene	Tsubulata_020182	0.143383520123114	0.294409351319857
11893	gene	Tsubulata_020183	0.826635040895661	0.896310322964067
11894	gene	Tsubulata_020190	0.096251787763593	0.237224228680628
11895	gene	Tsubulata_020191	0.141112383543565	0.291353443336454
11896	gene	Tsubulata_020194	0.272136076134753	0.442632747476701
11897	gene	Tsubulata_020195	0.394783935790637	0.566613576289793
11898	gene	Tsubulata_020197	NA	NA
11899	gene	Tsubulata_020198	0.849886062931212	0.91143358326623
11900	gene	Tsubulata_020200	0.369817881422393	0.542060055609266
11901	gene	Tsubulata_020202	0.66446551651967	0.784084266511027
11902	gene	Tsubulata_020203	0.454246060412731	0.621376843942499
11903	gene	Tsubulata_020205	NA	NA
11904	gene	Tsubulata_020206	NA	NA
11905	gene	Tsubulata_020207	0.665872792920304	0.784861528653505
11906	gene	Tsubulata_020208	0.397525581475545	0.569107251857766
11907	gene	Tsubulata_020209	0.512930107414226	0.671178247885734
11908	gene	Tsubulata_020210	0.214753464848396	0.379469571450747
11909	gene	Tsubulata_020211	0.787696993096918	0.868680054836378
11910	gene	Tsubulata_020212	0.0926563225454385	0.232461166242558
11911	gene	Tsubulata_020213	0.0507535946687525	0.167171429377803
11912	gene	Tsubulata_020214	0.15507703706589	0.309136837174127
11913	gene	Tsubulata_020215	0.844732005221348	0.908089070926199
11914	gene	Tsubulata_020217	NA	NA
11915	gene	Tsubulata_020220	0.0432594882513735	0.15417778198184
11916	gene	Tsubulata_020221	0.170145218536894	0.327138738996895
11917	gene	Tsubulata_020222	0.301010763910624	0.472447208715709
11918	gene	Tsubulata_020223	0.0146861283693908	0.102344109597127
11919	gene	Tsubulata_020224	0.164345618763783	0.320433362788724
11920	gene	Tsubulata_020226	0.446850081392865	0.614709575604336
11921	gene	Tsubulata_020229	0.0268942627349857	0.13027160898358
11922	gene	Tsubulata_020230	0.0300070757971946	0.136578765442017
11923	gene	Tsubulata_020232	0.603805413819204	0.744320582212972
11924	gene	Tsubulata_020233	0.00949002438084856	0.0886158713222821
11925	gene	Tsubulata_020234	0.0168609043165886	0.107033040561013
11926	gene	Tsubulata_020235	0.0292527996848726	0.134961926642925
11927	gene	Tsubulata_020237	NA	NA
11928	gene	Tsubulata_020241	NA	NA
11929	gene	Tsubulata_020242	NA	NA
11930	gene	Tsubulata_020244	NA	NA
11931	gene	Tsubulata_020246	0.300735305464964	0.472156230929533
11932	gene	Tsubulata_020247	0.154597843473823	0.308651069199524
11933	gene	Tsubulata_020248	NA	NA
11934	gene	Tsubulata_020249	NA	NA
11935	gene	Tsubulata_020252	NA	NA
11936	gene	Tsubulata_020253	0.230072349953821	0.396938218379273
11937	gene	Tsubulata_020254	0.209820071376437	0.373744230096204
11938	gene	Tsubulata_020255	0.128624267758392	0.27617554063716
11939	gene	Tsubulata_020256	0.015549323060422	0.104104008701784
11940	gene	Tsubulata_020257	0.860384006711717	0.918978822164731
11941	gene	Tsubulata_020258	0.763440145239179	0.859705515574907
11942	gene	Tsubulata_020259	0.509081869585434	0.668185886538368
11943	gene	Tsubulata_020260	0.64629066801087	0.770573094758625
11944	gene	Tsubulata_020261	0.498898635380207	0.659193792393672
11945	gene	Tsubulata_020263	NA	NA
11946	gene	Tsubulata_020264	0.453894765936568	0.621098887165485
11947	gene	Tsubulata_020265	NA	NA
11948	gene	Tsubulata_020266	NA	NA
11949	gene	Tsubulata_020268	NA	NA
11950	gene	Tsubulata_020270	0.42564446157577	0.595567783606575
11951	gene	Tsubulata_020271	0.127517611046282	0.27617554063716
11952	gene	Tsubulata_020272	0.0620953812789872	0.186517411551222
11953	gene	Tsubulata_020275	0.787696993096918	0.868680054836378
11954	gene	Tsubulata_020276	NA	NA
11955	gene	Tsubulata_020279	0.787696993096918	0.868680054836378
11956	gene	Tsubulata_020280	NA	NA
11957	gene	Tsubulata_020282	0.00712256984574688	0.0818067750607903
11958	gene	Tsubulata_020283	NA	NA
11959	gene	Tsubulata_020284	NA	NA
11960	gene	Tsubulata_020286	NA	NA
11961	gene	Tsubulata_020288	NA	NA
11962	gene	Tsubulata_020289	NA	NA
11963	gene	Tsubulata_020291	NA	NA
11964	gene	Tsubulata_020297	0.137879260213496	0.286966769966928
11965	gene	Tsubulata_020299	0.401270026494961	0.572981354141834
11966	gene	Tsubulata_020302	0.759395353240499	0.857285658640072
11967	gene	Tsubulata_020305	0.869801788556029	0.92475149339509
11968	gene	Tsubulata_020306	0.937178687639108	0.959930632136794
11969	gene	Tsubulata_020307	0.787221443825535	0.868680054836378
11970	gene	Tsubulata_020308	0.0374216439144269	0.14328034814048
11971	gene	Tsubulata_020311	NA	NA
11972	gene	Tsubulata_020315	0.170131040835264	0.327138738996895
11973	gene	Tsubulata_020317	NA	NA
11974	gene	Tsubulata_020319	0.0562671710794432	0.176681148000422
11975	gene	Tsubulata_020320	NA	NA
11976	gene	Tsubulata_020324	0.825997947236647	0.895942709561043
11977	gene	Tsubulata_020325	0.00137310759356613	0.0548208301218149
11978	gene	Tsubulata_020329	0.612665041203486	0.744320582212972
11979	gene	Tsubulata_020336	0.189366144590625	0.350438503743783
11980	gene	Tsubulata_020337	0.89338140102033	0.931062616507461
11981	gene	Tsubulata_020340	0.80775363429174	0.883089869437403
11982	gene	Tsubulata_020341	0.052182413803841	0.169798804278783
11983	gene	Tsubulata_020343	0.0158958824067349	0.104916826624748
11984	gene	Tsubulata_020347	0.158669568975982	0.313408269768027
11985	gene	Tsubulata_020348	0.914775469306147	0.945266922564913
11986	gene	Tsubulata_020351	NA	NA
11987	gene	Tsubulata_020352	0.0445129055708368	0.156394518083512
11988	gene	Tsubulata_020353	0.923500875228364	0.951170973656052
11989	gene	Tsubulata_020356	0.505442359391049	0.664698703924171
11990	gene	Tsubulata_020359	0.787696993096918	0.868680054836378
11991	gene	Tsubulata_020361	NA	NA
11992	gene	Tsubulata_020362	0.104457682528694	0.249459489931845
11993	gene	Tsubulata_020364	NA	NA
11994	gene	Tsubulata_020365	NA	NA
11995	gene	Tsubulata_020368	0.0153094545962918	0.10375576672947
11996	gene	Tsubulata_020370	0.0520594203425591	0.169692831519217
11997	gene	Tsubulata_020372	0.451089221340427	0.618308921577162
11998	gene	Tsubulata_020373	NA	NA
11999	gene	Tsubulata_020375	0.787696993096918	0.868680054836378
12000	gene	Tsubulata_020376	NA	NA
12001	gene	Tsubulata_020379	NA	NA
12002	gene	Tsubulata_020385	NA	NA
12003	gene	Tsubulata_020386	NA	NA
12004	gene	Tsubulata_020387	0.279810472545848	0.450329710554447
12005	gene	Tsubulata_020389	0.0375066467644755	0.143415253299629
12006	gene	Tsubulata_020390	0.447834027336647	0.615536950656931
12007	gene	Tsubulata_020391	0.0343071144855625	0.141668749804752
12008	gene	Tsubulata_020392	0.00251686419761121	0.0622846831687091
12009	gene	Tsubulata_020393	0.504156399177268	0.663631860285508
12010	gene	Tsubulata_020395	NA	NA
12011	gene	Tsubulata_020396	0.496323757849345	0.65716446633954
12012	gene	Tsubulata_020397	0.144635622955597	0.296207088363699
12013	gene	Tsubulata_020398	0.247667528645986	0.41662063139286
12014	gene	Tsubulata_020399	NA	NA
12015	gene	Tsubulata_020400	NA	NA
12016	gene	Tsubulata_020402	NA	NA
12017	gene	Tsubulata_020403	0.0251609928116956	0.126222020985173
12018	gene	Tsubulata_020404	0.234971343576127	0.402476237824522
12019	gene	Tsubulata_020405	0.333524875480396	0.50574257058239
12020	gene	Tsubulata_020406	0.612665041203486	0.744320582212972
12021	gene	Tsubulata_020407	0.511672237321268	0.670365988839063
12022	gene	Tsubulata_020408	0.0144217971555742	0.101684823320523
12023	gene	Tsubulata_020409	NA	NA
12024	gene	Tsubulata_020410	0.00881825701556138	0.0867180856588585
12025	gene	Tsubulata_020411	NA	NA
12026	gene	Tsubulata_020413	0.318248997103025	0.489976714814451
12027	gene	Tsubulata_020414	NA	NA
12028	gene	Tsubulata_020415	0.854936239680791	0.915257977733522
12029	gene	Tsubulata_020417	NA	NA
12030	gene	Tsubulata_020418	NA	NA
12031	gene	Tsubulata_020421	0.986556357738383	0.990792915935586
12032	gene	Tsubulata_020422	0.181157005188627	0.340536193796533
12033	gene	Tsubulata_020423	NA	NA
12034	gene	Tsubulata_020425	0.126168554254517	0.27617554063716
12035	gene	Tsubulata_020426	NA	NA
