"feature"	"id"	"pval"	"qval"
"83"	"gene"	"gene-Tsubulata_000102"	NA	NA
"84"	"gene"	"gene-Tsubulata_000103"	NA	NA
"85"	"gene"	"gene-Tsubulata_000104"	NA	NA
"86"	"gene"	"gene-Tsubulata_000105"	0.19562874512325	0.362501995032565
"87"	"gene"	"gene-Tsubulata_000107"	0.000523567953776949	0.0113624001894202
"88"	"gene"	"gene-Tsubulata_000108"	0.193729794319521	0.360336386133833
"89"	"gene"	"gene-Tsubulata_000109"	0.140534073465325	0.294851512822966
"90"	"gene"	"gene-Tsubulata_000110"	0.000914427746291913	0.0147134721266651
"91"	"gene"	"gene-Tsubulata_000111"	0.00665887864198389	0.0412885926798433
"92"	"gene"	"gene-Tsubulata_000112"	0.0140851088712507	0.0647778908259443
"93"	"gene"	"gene-Tsubulata_000113"	0.0516761333684995	0.151346529748145
"94"	"gene"	"gene-Tsubulata_000114"	0.146260732545206	0.303495001195456
"95"	"gene"	"gene-Tsubulata_000116"	0.0746449622758902	0.194175082411188
"96"	"gene"	"gene-Tsubulata_000117"	0.511546043070169	0.668415061513527
"97"	"gene"	"gene-Tsubulata_000118"	0.0925647775289808	0.223666205177219
"98"	"gene"	"gene-Tsubulata_000120"	NA	NA
"99"	"gene"	"gene-Tsubulata_000124"	0.000569636475658775	0.0118119278691499
"100"	"gene"	"gene-Tsubulata_000126"	NA	NA
"101"	"gene"	"gene-Tsubulata_000129"	0.139916381946506	0.293962633421345
"102"	"gene"	"gene-Tsubulata_000130"	0.0208716561337474	0.0826352028683439
"103"	"gene"	"gene-Tsubulata_000131"	0.0230729172433977	0.0882182449554238
"104"	"gene"	"gene-Tsubulata_000133"	0.509582714321296	0.666509701189416
"105"	"gene"	"gene-Tsubulata_000134"	0.259726302715942	0.436621610395458
"106"	"gene"	"gene-Tsubulata_000135"	0.210816900639364	0.378512890069805
"107"	"gene"	"gene-Tsubulata_000136"	0.685439468842241	0.797643798213086
"108"	"gene"	"gene-Tsubulata_000139"	0.967135696180314	0.979943583118614
"109"	"gene"	"gene-Tsubulata_000140"	0.0488148749440529	0.145735550886802
"110"	"gene"	"gene-Tsubulata_000141"	0.804938057153622	0.883030948726768
"111"	"gene"	"gene-Tsubulata_000142"	0.00114737163857603	0.015982391382796
"112"	"gene"	"gene-Tsubulata_000143"	NA	NA
