col	feature	id	2024_fc_SCvsWTSmorph	pval	2024_qval_SCvsWTSmorph
1	gene	.	0.695562617870734	0.377634647340599	0.739631033570518
2	gene	MK814806.1:160744..162263	1	NA	NA
3	gene	MK814806.1:165250..166387	1	NA	NA
4	gene	MK814808.1:17956..18382	1	NA	NA
5	gene	MK890302.1:21835..21972	1.32812433969959	0.449012599071982	0.783653514822758
6	gene	MK890302.1:304670..304831	0.127984462685985	0.163221692045832	0.626461208065906
7	gene	MK890303.1:322420..322644	1.60146598377305	0.397841034491339	0.752390828831066
8	gene	Tsubulata_000001	0.768118515929313	0.26264607872154	0.691150298270445
9	gene	Tsubulata_000003	0.95460668105409	0.323616004167177	0.719101136276686
10	gene	Tsubulata_000005	1.29425197613402	0.0477958480541796	0.535768460610165
11	gene	Tsubulata_000006	2.07681726156461	0.238905257261304	0.674135334153671
12	gene	Tsubulata_000008	1	NA	NA
13	gene	Tsubulata_000009	1	NA	NA
14	gene	Tsubulata_000010	1	NA	NA
15	gene	Tsubulata_000012	1	NA	NA
16	gene	Tsubulata_000013	1.30231392966078	0.44932365371443	0.783753544897761
17	gene	Tsubulata_000014	1.1087751179729	0.847363952272515	0.946494748749847
18	gene	Tsubulata_000017	0.919269713019498	0.51932070179934	0.82519264781368
19	gene	Tsubulata_000018	1.86405894186906	0.262269563233262	0.691137617001335
20	gene	Tsubulata_000019	1	NA	NA
21	gene	Tsubulata_000021	1	NA	NA
22	gene	Tsubulata_000022	1	NA	NA
23	gene	Tsubulata_000025	0.967979777785585	0.695304983887974	0.898052879044548
24	gene	Tsubulata_000026	2.5482567542951	0.194380068404751	0.649326680630967
25	gene	Tsubulata_000027	0.99385651581094	0.985067277315768	0.994843051125409
26	gene	Tsubulata_000028	1.09156684278327	0.856953295518142	0.950872451726556
27	gene	Tsubulata_000030	0.909205752551733	0.605946724988621	0.870296938230176
28	gene	Tsubulata_000033	3.6222110665378	0.145326844137496	0.615061828024212
29	gene	Tsubulata_000034	2.58132370872913	0.226389740090148	0.665902983940781
30	gene	Tsubulata_000036	1.37998545382572	0.0152331948397112	0.476444954810845
31	gene	Tsubulata_000037	0.978099970605491	0.538287386660371	0.836388201974327
32	gene	Tsubulata_000038	0.959737063348063	0.88328306253482	0.961551625553472
