nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_003132	NA	blue
Tsubulata_003135	NA	blue
Tsubulata_003158	NA	blue
Tsubulata_003167	NA	blue
Tsubulata_003169	NA	blue
Tsubulata_003172	NA	blue
Tsubulata_003177	NA	blue
Tsubulata_003183	NA	blue
Tsubulata_003188	NA	blue
Tsubulata_003197	NA	blue
Tsubulata_003201	NA	blue
Tsubulata_003236	NA	blue
Tsubulata_003240	NA	blue
Tsubulata_003241	NA	blue
Tsubulata_003242	NA	blue
Tsubulata_003250	NA	blue
Tsubulata_003254	NA	blue
Tsubulata_003255	NA	blue
Tsubulata_003271	NA	blue
Tsubulata_003286	NA	blue
Tsubulata_003294	NA	blue
Tsubulata_003297	NA	blue
Tsubulata_003320	NA	blue
Tsubulata_003355	NA	blue
Tsubulata_003359	NA	blue
Tsubulata_003364	NA	blue
Tsubulata_003435	NA	blue
Tsubulata_003452	NA	blue
Tsubulata_003453	NA	blue
Tsubulata_003455	NA	blue
Tsubulata_003475	NA	blue
Tsubulata_003479	NA	blue
Tsubulata_003497	NA	blue
Tsubulata_003498	NA	blue
Tsubulata_003501	NA	blue
Tsubulata_003502	NA	blue
Tsubulata_003550	NA	blue
Tsubulata_003565	NA	blue
Tsubulata_003568	NA	blue
Tsubulata_003579	NA	blue
Tsubulata_003607	NA	blue
Tsubulata_003655	NA	blue
Tsubulata_003700	NA	blue
Tsubulata_003701	NA	blue
Tsubulata_003714	NA	blue
Tsubulata_003722	NA	blue
Tsubulata_003749	NA	blue
Tsubulata_003757	NA	blue
Tsubulata_003763	NA	blue
Tsubulata_003770	NA	blue
Tsubulata_003797	NA	blue
Tsubulata_003818	NA	blue
Tsubulata_003830	NA	blue
Tsubulata_003840	NA	blue
Tsubulata_003856	NA	blue
Tsubulata_003858	NA	blue
Tsubulata_003861	NA	blue
Tsubulata_003881	NA	blue
Tsubulata_003938	NA	blue
Tsubulata_003973	NA	blue
Tsubulata_003978	NA	blue
Tsubulata_003983	NA	blue
Tsubulata_004047	NA	blue
Tsubulata_004049	NA	blue
Tsubulata_004127	NA	blue
Tsubulata_004132	NA	blue
Tsubulata_004191	NA	blue
Tsubulata_004214	NA	blue
Tsubulata_004215	NA	blue
Tsubulata_004238	NA	blue
Tsubulata_004241	NA	blue
Tsubulata_004244	NA	blue
Tsubulata_004249	NA	blue
Tsubulata_004253	NA	blue
Tsubulata_004254	NA	blue
Tsubulata_004271	NA	blue
Tsubulata_004273	NA	blue
Tsubulata_004291	NA	blue
Tsubulata_004306	NA	blue
Tsubulata_004318	NA	blue
Tsubulata_004338	NA	blue
Tsubulata_004341	NA	blue
Tsubulata_004353	NA	blue
Tsubulata_004357	NA	blue
Tsubulata_004410	NA	blue
Tsubulata_004415	NA	blue
Tsubulata_004429	NA	blue
Tsubulata_004459	NA	blue
Tsubulata_004475	NA	blue
Tsubulata_004504	NA	blue
Tsubulata_004529	NA	blue
Tsubulata_004535	NA	blue
Tsubulata_004551	NA	blue
Tsubulata_004593	NA	blue
